id,crop_id,plate_id,spacing_id,name
AB000,9b9962df,35ae0e2e,9af624b1,50000 Semilla/Ha
AB001,9b9962df,35ae0e2e,9af624b1,100000 Semilla/Ha
AB002,9b9962df,35ae0e2e,9af624b1,150000 Semilla/Ha
AB003,9b9962df,35ae0e2e,9af624b1,200000 Semilla/Ha
AB004,9b9962df,35ae0e2e,9af624b1,250000 Semilla/Ha
AB005,9b9962df,35ae0e2e,9af624b1,300000 Semilla/Ha
AB006,9b9962df,35ae0e2e,9af624b1,350000 Semilla/Ha
AB007,9b9962df,35ae0e2e,9af624b1,400000 Semilla/Ha
AB008,9b9962df,35ae0e2e,9af624b1,450000 Semilla/Ha
AB009,9b9962df,35ae0e2e,9af624b1,500000 Semilla/Ha
AB010,9b9962df,35ae0e2e,9af624b1,550000 Semilla/Ha
AB011,9b9962df,35ae0e2e,9af624b1,600000 Semilla/Ha
AB012,9b9962df,35ae0e2e,9af624b1,650000 Semilla/Ha
AB013,9b9962df,35ae0e2e,9af624b1,700000 Semilla/Ha
AB014,9b9962df,35ae0e2e,9af624b1,750000 Semilla/Ha
AB015,9b9962df,35ae0e2e,9af624b1,800000 Semilla/Ha
AB016,9b9962df,35ae0e2e,8ecece98,50000 Semilla/Ha
AB017,9b9962df,35ae0e2e,8ecece98,100000 Semilla/Ha
AB018,9b9962df,35ae0e2e,8ecece98,150000 Semilla/Ha
AB019,9b9962df,35ae0e2e,8ecece98,200000 Semilla/Ha
AB020,9b9962df,35ae0e2e,8ecece98,250000 Semilla/Ha
AB021,9b9962df,35ae0e2e,8ecece98,300000 Semilla/Ha
AB022,9b9962df,35ae0e2e,8ecece98,350000 Semilla/Ha
AB023,9b9962df,35ae0e2e,8ecece98,400000 Semilla/Ha
AB024,9b9962df,35ae0e2e,8ecece98,450000 Semilla/Ha
AB025,9b9962df,35ae0e2e,8ecece98,500000 Semilla/Ha
AB026,9b9962df,35ae0e2e,8ecece98,550000 Semilla/Ha
AB027,9b9962df,35ae0e2e,8ecece98,600000 Semilla/Ha
AB028,9b9962df,35ae0e2e,8ecece98,650000 Semilla/Ha
AB029,9b9962df,35ae0e2e,8ecece98,700000 Semilla/Ha
AB030,9b9962df,35ae0e2e,8ecece98,750000 Semilla/Ha
AB031,9b9962df,35ae0e2e,8ecece98,800000 Semilla/Ha
AB032,9b9962df,35ae0e2e,cae45e76,50000 Semilla/Ha
AB033,9b9962df,35ae0e2e,cae45e76,100000 Semilla/Ha
AB034,9b9962df,35ae0e2e,cae45e76,150000 Semilla/Ha
AB035,9b9962df,35ae0e2e,cae45e76,200000 Semilla/Ha
AB036,9b9962df,35ae0e2e,cae45e76,250000 Semilla/Ha
AB037,9b9962df,35ae0e2e,cae45e76,300000 Semilla/Ha
AB038,9b9962df,35ae0e2e,cae45e76,350000 Semilla/Ha
AB039,9b9962df,35ae0e2e,cae45e76,400000 Semilla/Ha
