id,crop_id,plate_id,spacing_id,population_id,speed_value,result
AAB000,9b9962df,35ae0e2e,9af624b1,AB000,"0,5  km/h",No (Suba la velocidad)
AAB001,9b9962df,35ae0e2e,9af624b1,AB000,1 km/h,No (Suba la velocidad)
AAB002,9b9962df,35ae0e2e,9af624b1,AB000,"1,5 km/h",No (Suba la velocidad)
AAB003,9b9962df,35ae0e2e,9af624b1,AB000,2 km/h,No (Suba la velocidad)
AAB004,9b9962df,35ae0e2e,9af624b1,AB000,"2,5 km/h",No (Suba la velocidad)
AAB005,9b9962df,35ae0e2e,9af624b1,AB000,3 km/h,No (Suba la velocidad)
AAB006,9b9962df,35ae0e2e,9af624b1,AB000,"3,5 km/h",No (Suba la velocidad)
AAB007,9b9962df,35ae0e2e,9af624b1,AB000,4 km/h,No (Suba la velocidad)
AAB008,9b9962df,35ae0e2e,9af624b1,AB000,"4,5 km/h",No (Suba la velocidad)
AAB009,9b9962df,35ae0e2e,9af624b1,AB000,5 km/h,No (Suba la velocidad)
AAB010,9b9962df,35ae0e2e,9af624b1,AB000,"5,5 km/h",No (Suba la velocidad)
AAB011,9b9962df,35ae0e2e,9af624b1,AB000,6 km/h,No (Suba la velocidad)
AAB012,9b9962df,35ae0e2e,9af624b1,AB000,"6,5 km/h",No (Suba la velocidad)
AAB013,9b9962df,35ae0e2e,9af624b1,AB014,7 km/h,No (Suba la velocidad)
AAB014,9b9962df,35ae0e2e,9af624b1,AB000,"7,5 km/h",No (Suba la velocidad)
AAB015,9b9962df,35ae0e2e,9af624b1,AB000,8 km/h,No (Suba la velocidad)
AAB016,9b9962df,35ae0e2e,9af624b1,AB000,"8,5 km/h",No (Suba la velocidad)
AAB017,9b9962df,35ae0e2e,9af624b1,AB000,9 km/h,No (Suba la velocidad)
AAB018,9b9962df,35ae0e2e,9af624b1,AB000,"9,5 km/h",No (Suba la velocidad)
AAB019,9b9962df,35ae0e2e,9af624b1,AB000,10 km/h,No (Suba la velocidad)
AAB020,9b9962df,35ae0e2e,9af624b1,AB000,"10,5 km/h",No (Suba la velocidad)
AAB021,9b9962df,35ae0e2e,9af624b1,AB000,11 km/h,No (Suba la velocidad)
AAB022,9b9962df,35ae0e2e,9af624b1,AB000,"11,5 km/h",No (Suba la velocidad)
AAB023,9b9962df,35ae0e2e,9af624b1,AB000,12 km/h,No (Suba la velocidad)
AAB024,9b9962df,35ae0e2e,9af624b1,AB000,"12,5 km/h",No (Suba la velocidad)
AAB025,9b9962df,35ae0e2e,9af624b1,AB000,13 km/h,No (Suba la velocidad)
AAB026,9b9962df,35ae0e2e,9af624b1,AB000,"13,5 km/h",No (Suba la velocidad)
AAB027,9b9962df,35ae0e2e,9af624b1,AB000,14 km/h,No (Suba la velocidad)
AAB028,9b9962df,35ae0e2e,9af624b1,AB000,"14,5 km/h",No (Suba la velocidad)
AAB029,9b9962df,35ae0e2e,9af624b1,AB000,15 km/h,No (Suba la velocidad)
AAB030,9b9962df,35ae0e2e,9af624b1,AB001,"0,5  km/h",No (Suba la velocidad)
AAB031,9b9962df,35ae0e2e,9af624b1,AB001,1 km/h,No (Suba la velocidad)
AAB032,9b9962df,35ae0e2e,9af624b1,AB001,"1,5 km/h",No (Suba la velocidad)
AAB033,9b9962df,35ae0e2e,9af624b1,AB001,2 km/h,No (Suba la velocidad)
AAB034,9b9962df,35ae0e2e,9af624b1,AB001,"2,5 km/h",No (Suba la velocidad)
AAB035,9b9962df,35ae0e2e,9af624b1,AB001,3 km/h,No (Suba la velocidad)
AAB036,9b9962df,35ae0e2e,9af624b1,AB001,"3,5 km/h",No (Suba la velocidad)
AAB037,9b9962df,35ae0e2e,9af624b1,AB001,4 km/h,No (Suba la velocidad)
AAB038,9b9962df,35ae0e2e,9af624b1,AB001,"4,5 km/h",No (Suba la velocidad)
AAB039,9b9962df,35ae0e2e,9af624b1,AB001,5 km/h,No (Suba la velocidad)
AAB040,9b9962df,35ae0e2e,9af624b1,AB001,"5,5 km/h",No (Suba la velocidad)
AAB041,9b9962df,35ae0e2e,9af624b1,AB001,6 km/h,No (Suba la velocidad)
AAB042,9b9962df,35ae0e2e,9af624b1,AB001,"6,5 km/h",No (Suba la velocidad)
AAB043,9b9962df,35ae0e2e,9af624b1,AB001,7 km/h,No (Suba la velocidad)
AAB044,9b9962df,35ae0e2e,9af624b1,AB001,"7,5 km/h",No (Suba la velocidad)
AAB045,9b9962df,35ae0e2e,9af624b1,AB001,8 km/h,No (Suba la velocidad)
AAB046,9b9962df,35ae0e2e,9af624b1,AB001,"8,5 km/h",No (Suba la velocidad)
AAB047,9b9962df,35ae0e2e,9af624b1,AB001,9 km/h,No (Suba la velocidad)
AAB048,9b9962df,35ae0e2e,9af624b1,AB001,"9,5 km/h",No (Suba la velocidad)
AAB049,9b9962df,35ae0e2e,9af624b1,AB001,10 km/h,No (Suba la velocidad)
AAB050,9b9962df,35ae0e2e,9af624b1,AB001,"10,5 km/h",No (Suba la velocidad)
AAB051,9b9962df,35ae0e2e,9af624b1,AB001,11 km/h,No (Suba la velocidad)
AAB052,9b9962df,35ae0e2e,9af624b1,AB001,"11,5 km/h",No (Suba la velocidad)
AAB053,9b9962df,35ae0e2e,9af624b1,AB001,12 km/h,No (Suba la velocidad)
AAB054,9b9962df,35ae0e2e,9af624b1,AB001,"12,5 km/h",Si (Velocidad Minima)
AAB055,9b9962df,35ae0e2e,9af624b1,AB001,13 km/h,Si
AAB056,9b9962df,35ae0e2e,9af624b1,AB001,"13,5 km/h",Si
AAB057,9b9962df,35ae0e2e,9af624b1,AB001,14 km/h,Si
AAB058,9b9962df,35ae0e2e,9af624b1,AB001,"14,5 km/h",Si
AAB059,9b9962df,35ae0e2e,9af624b1,AB001,15 km/h,Si
AAB060,9b9962df,35ae0e2e,9af624b1,AB002,"0,5  km/h",No (Suba la velocidad)
AAB061,9b9962df,35ae0e2e,9af624b1,AB002,1 km/h,No (Suba la velocidad)
AAB062,9b9962df,35ae0e2e,9af624b1,AB002,"1,5 km/h",No (Suba la velocidad)
AAB063,9b9962df,35ae0e2e,9af624b1,AB002,2 km/h,No (Suba la velocidad)
AAB064,9b9962df,35ae0e2e,9af624b1,AB002,"2,5 km/h",No (Suba la velocidad)
AAB065,9b9962df,35ae0e2e,9af624b1,AB002,3 km/h,No (Suba la velocidad)
AAB066,9b9962df,35ae0e2e,9af624b1,AB002,"3,5 km/h",No (Suba la velocidad)
AAB067,9b9962df,35ae0e2e,9af624b1,AB002,4 km/h,No (Suba la velocidad)
AAB068,9b9962df,35ae0e2e,9af624b1,AB002,"4,5 km/h",No (Suba la velocidad)
AAB069,9b9962df,35ae0e2e,9af624b1,AB002,5 km/h,No (Suba la velocidad)
AAB070,9b9962df,35ae0e2e,9af624b1,AB002,"5,5 km/h",No (Suba la velocidad)
AAB071,9b9962df,35ae0e2e,9af624b1,AB002,6 km/h,No (Suba la velocidad)
AAB072,9b9962df,35ae0e2e,9af624b1,AB002,"6,5 km/h",No (Suba la velocidad)
AAB073,9b9962df,35ae0e2e,9af624b1,AB002,7 km/h,No (Suba la velocidad)
AAB074,9b9962df,35ae0e2e,9af624b1,AB002,"7,5 km/h",No (Suba la velocidad)
AAB075,9b9962df,35ae0e2e,9af624b1,AB002,8 km/h,No (Suba la velocidad)
AAB076,9b9962df,35ae0e2e,9af624b1,AB002,"8,5 km/h",Si (Velocidad Minima)
AAB077,9b9962df,35ae0e2e,9af624b1,AB002,9 km/h,Si
AAB078,9b9962df,35ae0e2e,9af624b1,AB002,"9,5 km/h",Si
AAB079,9b9962df,35ae0e2e,9af624b1,AB002,10 km/h,Si
AAB080,9b9962df,35ae0e2e,9af624b1,AB002,"10,5 km/h",Si
AAB081,9b9962df,35ae0e2e,9af624b1,AB002,11 km/h,Si
AAB082,9b9962df,35ae0e2e,9af624b1,AB002,"11,5 km/h",Si
AAB083,9b9962df,35ae0e2e,9af624b1,AB002,12 km/h,Si
AAB084,9b9962df,35ae0e2e,9af624b1,AB002,"12,5 km/h",Si
AAB085,9b9962df,35ae0e2e,9af624b1,AB002,13 km/h,Si
AAB086,9b9962df,35ae0e2e,9af624b1,AB002,"13,5 km/h",Si
AAB087,9b9962df,35ae0e2e,9af624b1,AB002,14 km/h,Si
AAB088,9b9962df,35ae0e2e,9af624b1,AB002,"14,5 km/h",Si
AAB089,9b9962df,35ae0e2e,9af624b1,AB002,15 km/h,Si
AAB090,9b9962df,35ae0e2e,9af624b1,AB003,"0,5  km/h",No (Suba la velocidad)
AAB091,9b9962df,35ae0e2e,9af624b1,AB003,1 km/h,No (Suba la velocidad)
AAB092,9b9962df,35ae0e2e,9af624b1,AB003,"1,5 km/h",No (Suba la velocidad)
AAB093,9b9962df,35ae0e2e,9af624b1,AB003,2 km/h,No (Suba la velocidad)
AAB094,9b9962df,35ae0e2e,9af624b1,AB003,"2,5 km/h",No (Suba la velocidad)
AAB095,9b9962df,35ae0e2e,9af624b1,AB003,3 km/h,No (Suba la velocidad)
AAB096,9b9962df,35ae0e2e,9af624b1,AB003,"3,5 km/h",No (Suba la velocidad)
AAB097,9b9962df,35ae0e2e,9af624b1,AB003,4 km/h,No (Suba la velocidad)
AAB098,9b9962df,35ae0e2e,9af624b1,AB003,"4,5 km/h",No (Suba la velocidad)
AAB099,9b9962df,35ae0e2e,9af624b1,AB003,5 km/h,No (Suba la velocidad)
AAB100,9b9962df,35ae0e2e,9af624b1,AB003,"5,5 km/h",No (Suba la velocidad)
AAB101,9b9962df,35ae0e2e,9af624b1,AB003,6 km/h,No (Suba la velocidad)
AAB102,9b9962df,35ae0e2e,9af624b1,AB003,"6,5 km/h",Si (Velocidad Minima)
AAB103,9b9962df,35ae0e2e,9af624b1,AB003,7 km/h,Si
AAB104,9b9962df,35ae0e2e,9af624b1,AB003,"7,5 km/h",Si
AAB105,9b9962df,35ae0e2e,9af624b1,AB003,8 km/h,Si
AAB106,9b9962df,35ae0e2e,9af624b1,AB003,"8,5 km/h",Si
AAB107,9b9962df,35ae0e2e,9af624b1,AB003,9 km/h,Si
AAB108,9b9962df,35ae0e2e,9af624b1,AB003,"9,5 km/h",Si
AAB109,9b9962df,35ae0e2e,9af624b1,AB003,10 km/h,Si
AAB110,9b9962df,35ae0e2e,9af624b1,AB003,"10,5 km/h",Si
AAB111,9b9962df,35ae0e2e,9af624b1,AB003,11 km/h,Si
AAB112,9b9962df,35ae0e2e,9af624b1,AB003,"11,5 km/h",Si
AAB113,9b9962df,35ae0e2e,9af624b1,AB003,12 km/h,Si
AAB114,9b9962df,35ae0e2e,9af624b1,AB003,"12,5 km/h",Si
AAB115,9b9962df,35ae0e2e,9af624b1,AB003,13 km/h,Si
AAB116,9b9962df,35ae0e2e,9af624b1,AB003,"13,5 km/h",Si
AAB117,9b9962df,35ae0e2e,9af624b1,AB003,14 km/h,Si
AAB118,9b9962df,35ae0e2e,9af624b1,AB003,"14,5 km/h",Si
AAB119,9b9962df,35ae0e2e,9af624b1,AB003,15 km/h,Si
AAB120,9b9962df,35ae0e2e,9af624b1,AB004,"0,5  km/h",No (Suba la velocidad)
AAB121,9b9962df,35ae0e2e,9af624b1,AB004,1 km/h,No (Suba la velocidad)
AAB122,9b9962df,35ae0e2e,9af624b1,AB004,"1,5 km/h",No (Suba la velocidad)
